,epoch,client_id,is_mal,train_re,train_latent_z,train_loss,threshold_re,threshold_z,best_val_loss,best_epoch,is_training,val_loss
0,1,0,False,0.013150705955922604,0.001595232984982431,0.014745938591659069,"(0, 0)","(np.float64(0.0013946179325492786), np.float64(0.0003011881712549756))",0.014073912320392472,1,True,0.014073912320392472
1,1,1,False,0.011494051665067673,0.0014176983386278152,0.012911750003695488,"(0, 0)","(np.float64(0.001555267459480092), np.float64(0.0002785506887388852))",0.014702750502952508,1,True,0.014702750502952508
2,1,2,False,0.010471248999238014,0.001294690533541143,0.011765939183533192,"(0, 0)","(np.float64(0.0017960211927337305), np.float64(0.0002757914615546834))",0.014540267775633506,1,True,0.014540267775633506
3,1,3,False,0.012388264760375023,0.0010599547531455755,0.013448219746351242,"(0, 0)","(np.float64(0.0015411761955225042), np.float64(0.00017155008926289622))",0.014811122191271611,1,True,0.014811122191271611
4,1,4,False,0.013271791860461235,0.0010579191148281097,0.014329710975289345,"(0, 0)","(np.float64(0.001563580590300262), np.float64(0.00019897958659973453))",0.015577303578278847,1,True,0.015577303578278847
5,1,5,False,0.011954547837376595,0.001425139489583671,0.013379687443375587,"(0, 0)","(np.float64(0.001284466399478593), np.float64(0.00018739520221146112))",0.013297128424580609,1,True,0.013297128424580609
6,1,6,False,0.01772245205938816,0.0018724024994298816,0.01959485374391079,"(0, 0)","(np.float64(0.0015309621230699122), np.float64(0.0002742313203296839))",0.01363454107195139,1,True,0.01363454107195139
7,1,7,False,0.013955114409327507,0.0009317010990343988,0.01488681510090828,"(0, 0)","(np.float64(0.0012027424194716982), np.float64(0.00020279514285995273))",0.014137027984751123,1,True,0.014137027984751123
8,1,8,False,0.015315769240260124,0.0016904255608096719,0.017006194218993187,"(0, 0)","(np.float64(0.001344021933618933), np.float64(0.00021814066789374833))",0.014204079684402262,1,True,0.014204079684402262
9,1,9,False,0.014757277444005013,0.0014119780389592052,0.01616925559937954,"(0, 0)","(np.float64(0.0015777083629343127), np.float64(0.0001433115961893072))",0.014434257788317544,1,True,0.014434257788317544
10,1,10,False,0.016670119017362595,0.0013989193830639124,0.018069038167595863,"(0, 0)","(np.float64(0.0017124211216079338), np.float64(0.00018536116512153192))",0.015414780271904809,1,True,0.015414780271904809
