Client,ROC-AUC,Precision,Recall,F1
Client 1,79.99272478656452,96.97959183673468,73.15270935960592,83.3976833976834
Client 2,88.36805555555556,96.02137767220903,100.0,97.97031202665859
Client 3,82.46745585401345,98.31791421362489,72.02711028958718,83.14366998577525
Client 4,93.45454545454545,97.8391356542617,100.0,98.90776699029125
Client 5,80.93296952562542,97.31318219983207,72.39225484072455,83.02292263610315
Client 6,82.21048480913936,98.15590947191953,72.19482120838471,83.19715808170514
Client 7,84.27961054789208,99.2436974789916,71.96831200487507,83.43341575415047
Client 8,80.73643899175435,97.56507136859783,71.6841455891425,82.64580369843529
Client 9,97.68683274021353,99.20586438607208,100.0,99.60134927936217
Client 10,79.48361356384288,96.96472518457753,72.47087676272226,82.94736842105263
Client 11,80.75465300604276,97.5609756097561,71.64916615194564,82.62108262108262
Client 12,85.26101390046158,99.65928449744463,71.95571955719558,83.57142857142857
Client 13,83.88353238371093,99.06542056074767,71.70971709717097,83.19657509810916
Client 14,84.38085177334237,99.0909090909091,72.97626293365795,84.05187521906765
Client 15,83.8104877578562,98.76543209876543,73.26007326007326,84.12197686645636
Client 16,80.27467325032961,97.47899159663865,71.34071340713407,82.38636363636364
Client 17,80.51180610029218,97.58935993349958,71.80428134556574,82.73431994362227
Client 18,84.09305559199308,98.98904802021904,72.44143033292232,83.65966536133855
Client 19,80.74171893914384,97.45693191140279,72.83874923359902,83.36842105263158
Client 20,82.54567318482609,98.58096828046745,71.70613236187006,83.02284710017574
Average,83.79350988585726,98.09218955333355,76.37862378680883,85.55010028707468
