Client,ROC-AUC,Precision,Recall,F1
Client 1,93.23843416370107,97.71359807460891,100.0,98.84357881923312
Client 2,87.32638888888889,95.68047337278107,100.0,97.7925612337466
Client 3,89.9372058572908,98.2336956521739,89.09426987060998,93.44103392568658
Client 4,84.68153931957613,97.3913043478261,82.45398773006136,89.30232558139535
Client 5,83.22953992570433,96.65676077265974,81.26171143035603,88.29317950458093
Client 6,94.18758414556038,98.49529780564264,96.85573366214551,97.66863537457259
Client 7,83.8333056340369,98.99749373433583,72.21206581352834,83.50951374207189
Client 8,94.12845053044983,98.00242130750605,99.87661937075879,98.93064466849985
Client 9,84.12283277527479,98.7603305785124,73.58374384236454,84.33309809456598
Client 10,93.06569343065694,97.72318753744757,100.0,98.84848484848486
Client 11,90.80434698099923,97.37663960024985,96.29400864731316,96.83229813664596
Client 12,84.9895515084183,99.57337883959045,71.77121771217713,83.41672623302358
Client 13,83.58661005964899,98.89923793395428,71.83271832718327,83.2205201282508
Client 14,96.84356949137522,99.03381642512076,99.81740718198418,99.42406789936345
Client 15,84.61056487372277,98.43382928739233,76.73992673992674,86.24356775300171
Client 16,94.03399789393576,98.0096501809409,99.93849938499385,98.9646772228989
Client 17,93.49442379182157,97.90419161676647,100.0,98.9409984871407
Client 18,83.67679338178066,98.82055602358888,72.31812577065352,83.51726593093628
Client 19,87.2518039900014,97.05689993459778,90.98712446351931,93.92405063291139
Client 20,82.29040420148414,98.49624060150376,71.58469945355192,82.91139240506328
Average,88.4666520422164,98.06295018135998,87.33109297005637,91.91793103110368
