Client,ROC-AUC,Precision,Recall,F1
Client 1,93.95017793594306,97.94933655006032,100.0,98.96404631322365
Client 2,84.72222222222221,94.83870967741936,100.0,97.35099337748345
Client 3,97.51773049645391,99.14477703115455,100.0,99.57055214723927
Client 4,95.06023424428332,98.36956521739131,99.93865030674847,99.14790018259282
Client 5,91.77631578947368,96.97153240460327,100.0,98.46248462484624
Client 6,92.226148409894,97.35894357743096,100.0,98.661800486618
Client 7,96.74983380422137,98.97404948702474,99.93906154783669,99.45421467556095
Client 8,94.12845053044983,98.00242130750605,99.87661937075879,98.93064466849985
Client 9,97.33096085409252,99.08480780964003,100.0,99.54030033711308
Client 10,91.42335766423358,97.19904648390941,100.0,98.57963130855242
Client 11,95.59848736809823,98.47839318320146,99.93823347745521,99.20294297976702
Client 12,98.47405732121838,99.50950337216432,99.81549815498155,99.66226588885478
Client 13,97.04036556494599,99.02379499694935,99.81549815498155,99.41807044410413
Client 14,96.74329501915709,98.97590361445782,100.0,99.48531637904935
Client 15,97.55639097744361,99.21259842519686,100.0,99.60474308300395
Client 16,94.06474820143885,98.01084990958408,100.0,98.99543378995433
Client 17,97.55306208292122,99.210686095932,99.9388379204893,99.5734308348568
Client 18,96.24576960411365,98.721071863581,99.9383477188656,99.32598039215686
Client 19,92.0938860853024,97.42976688583383,99.93868792152054,98.6682808716707
Client 20,96.46769624762864,98.91826923076923,99.93928354584092,99.42615524010873
Average,94.83615952117677,98.26920135619051,99.95393590597392,99.10125940126282
