Client,ROC-AUC,Precision,Recall,F1
Client 1,94.30604982206407,98.06763285024155,100.0,99.02439024390245
Client 2,84.31315708101423,94.72140762463343,99.87631416202845,97.23058398555088
Client 3,97.05627875879969,99.37304075235109,97.65865680837955,98.50839030453697
Client 4,96.17958728388176,98.78345498783455,99.6319018404908,99.20586438607208
Client 5,91.35367697820442,96.84848484848484,99.81261711430356,98.30821285758228
Client 6,89.2226148409894,96.37551990493168,100.0,98.15431164901665
Client 7,94.5446235665614,98.3173076923077,99.69530773918342,99.00151285930409
Client 8,94.67845009601099,98.23493609251369,99.56816779765578,98.89705882352942
Client 9,96.99229090335359,99.07862407862407,99.32266009852216,99.20049200492005
Client 10,89.56788410674568,96.6212211025489,99.93868792152054,98.25195901145268
Client 11,97.05669562062398,99.67886962106616,95.8616429894997,97.73299748110831
Client 12,97.33629594360458,99.49811794228356,97.539975399754,98.50931677018635
Client 13,95.18675025459933,98.421372191864,99.69249692496925,99.05285670638558
Client 14,96.88297969092143,99.0909090909091,99.51308581862448,99.30154873975098
Client 15,96.7129361866204,98.97094430992736,99.81684981684981,99.3920972644377
Client 16,92.59050324316192,97.58890898131405,99.56949569495694,98.56925418569254
Client 17,95.96523538305878,99.24433249370277,96.3914373088685,97.79708346261248
Client 18,94.38024153702199,98.12007277137658,99.75339087546239,98.92999082849282
Client 19,91.26931723498247,97.19235364396654,99.75475168608216,98.45688350983359
Client 20,96.31035321856271,99.02676399026764,98.84638737097754,98.9364934670313
Average,94.09529608753914,98.16271374855745,99.11219136840646,98.62306492706998
