Client,ROC-AUC,Precision,Recall,F1
Client 1,89.40397350993378,96.16076784643072,100.0,98.0428134556575
Client 2,94.7625507730345,98.0246913580247,99.74874371859298,98.87920298879203
Client 3,94.73684210526316,98.32033593281344,100.0,99.15305505142166
Client 4,89.41605839416059,96.56601539372409,100.0,98.25301204819277
Client 5,95.02095926209248,98.36363636363636,99.7541487400123,99.05401281660055
Client 6,89.53834490793339,96.21621621621622,99.93761696818466,98.04161566707467
Client 7,94.01873111782477,98.27175208581644,99.63746223564954,98.94989498949896
Client 8,95.788574721159,98.67229933614968,99.81684981684981,99.2412746585736
Client 9,94.57518807506221,98.32335329341318,99.87834549878345,99.09474954737478
Client 10,96.70211218241214,99.01719901719902,99.1389913899139,99.0780577750461
Client 11,92.60008130150153,97.39866908650939,99.87593052109182,98.6217457886677
Client 12,95.87231968810916,98.59756097560975,99.81481481481481,99.20245398773007
Client 13,93.1218361711919,97.89915966386555,99.45121951219512,98.6690865093769
Client 14,97.64953921057207,99.20294297976702,99.87654320987654,99.53860350661336
Client 15,95.68374344493748,98.46625766871165,99.81343283582089,99.13526868437307
Client 16,96.3799190562301,98.98264512268103,99.69861362266425,99.33933933933933
Client 17,95.1576811767163,98.63258026159333,99.81949458483754,99.22248803827752
Client 18,96.16259108943532,98.84428223844283,99.38837920489296,99.11558401951814
Client 19,96.39857828635826,98.77750611246944,99.81470043236565,99.29339477726575
Client 20,85.6270563602957,99.41471571906354,73.66790582403965,84.62633451957295
Average,93.9308340417112,98.20762933360686,98.45665964652929,98.22759940844837
