Client,ROC-AUC,Precision,Recall,F1
Client 1,92.48002999922173,48.829953198127924,94.5619335347432,64.40329218106996
Client 2,93.41402798232696,58.4070796460177,93.75,71.97382769901853
Client 3,92.16408067339744,42.0,97.95918367346938,58.79265091863517
Client 4,93.72253035164374,55.891719745222936,95.64032697547684,70.55276381909547
Client 5,92.57115712904692,41.910828025477706,98.50299401197606,58.80250223413762
Client 6,88.80399629559592,55.53571428571429,84.97267759562843,67.170626349892
Client 7,93.06871421134827,50.44117647058823,96.07843137254902,66.15236258437801
Client 8,92.4881459333756,54.049586776859506,93.16239316239316,68.41004184100419
Client 9,94.15912950648536,49.075391180654336,98.8538681948424,65.5893536121673
Client 10,92.89234933199312,52.052545155993435,94.34523809523809,67.08994708994709
Client 11,92.71342317654053,45.690834473324216,97.09302325581395,62.13953488372093
Client 12,92.4748419346624,54.729729729729726,92.83667621776505,68.86291179596175
Client 13,91.9952210274791,57.6271186440678,91.39784946236558,70.68607068607069
Client 14,92.91296445186606,47.01704545454545,96.78362573099415,63.28871892925431
Client 15,93.05077851831766,47.44744744744745,96.34146341463415,63.581488933601605
Client 16,93.71896106807284,50.23696682464455,96.65653495440729,66.11226611226611
Client 17,92.45622239910938,47.16494845360825,97.08222811671088,63.486556808326114
Client 18,91.71545807527718,47.56995581737849,93.8953488372093,63.147605083088955
Client 19,92.67898587166701,53.41098169717138,93.58600583090379,68.00847457627118
Client 20,91.05495604764347,37.785800240673886,97.21362229102168,54.41941074523397
Average,92.52679869925353,49.84374116336237,95.03567123640713,65.13352034415706
