Client,ROC-AUC,Precision,Recall,F1
Client 1,93.66036494336231,54.03087478559176,95.16616314199395,68.9277899343545
Client 2,94.19789295755791,59.29203539823009,95.17045454545455,73.06434023991277
Client 3,88.20595218110746,33.131923464249745,95.91836734693877,49.25149700598803
Client 4,91.48735146639152,50.369276218611525,92.91553133514986,65.32567049808429
Client 5,89.66728131782143,33.744855967078195,98.20359281437125,50.22970903522205
Client 6,87.38090389398809,67.05336426914154,78.96174863387978,72.5219573400251
Client 7,91.83733670459335,46.44808743169399,95.23809523809523,62.44260789715336
Client 8,93.67040661210272,67.01244813278008,92.02279202279202,77.55102040816327
Client 9,91.01101946029267,39.016018306636155,97.70773638968481,55.76451349141456
Client 10,93.1530604766093,61.55378486055777,91.96428571428571,73.74701670644392
Client 11,89.54970477485666,34.42288049029622,97.96511627906976,50.944822373393805
Client 12,92.53450116451442,58.71559633027523,91.69054441260745,71.58836689038031
Client 13,93.94348864994025,65.59546313799622,93.27956989247312,77.02552719200888
Client 14,91.34472000604723,43.12169312169312,95.32163742690058,59.38069216757741
Client 15,91.6641988611226,46.6565349544073,93.59756097560977,62.27180527383367
Client 16,91.13666425604856,43.705799151343705,93.9209726443769,59.65250965250966
Client 17,89.40743855074311,40.02242152466368,94.6949602122016,56.26477541371159
Client 18,90.37476245163583,41.035353535353536,94.47674418604652,57.21830985915493
Client 19,93.3877156924648,61.15384615384616,92.71137026239067,73.69640787949015
Client 20,93.3482660096651,46.58753709198813,97.21362229102168,62.9889669007021
Average,91.54815152154326,49.633489716321705,93.90704328826719,63.99291530797622
