Client,ROC-AUC,Precision,Recall,F1
Client 1,89.5602796861402,33.575129533678755,97.88519637462235,50.0
Client 2,90.82570457892622,37.009544008483566,99.14772727272727,53.8996138996139
Client 3,89.38348127567295,32.91384317521781,99.12536443148689,49.41860465116279
Client 4,89.08832207406931,33.89199255121043,99.1825613079019,50.52047189451769
Client 5,89.22274115700623,31.949806949806952,99.10179640718563,48.32116788321168
Client 6,91.44241445687327,41.1225658648339,98.08743169398907,57.9499596448749
Client 7,90.73027441064922,37.10691823899371,99.15966386554622,54.004576659038904
Client 8,90.97429857147172,37.33905579399141,99.14529914529915,54.24785658612626
Client 9,91.17595720388363,38.435754189944134,98.56733524355302,55.30546623794213
Client 10,90.11352452150606,34.08393039918117,99.10714285714286,50.72353389185073
Client 11,91.20526348160651,37.81979977753059,98.83720930232558,54.706355591311336
Client 12,91.28591569961092,38.06380638063806,99.14040114613181,55.00794912559619
Client 13,90.91529271206691,38.638743455497384,99.19354838709677,55.61416729464958
Client 14,89.12055648325672,33.30019880715705,97.953216374269,49.70326409495549
Client 15,88.10556380139577,29.797047970479706,98.47560975609755,45.75070821529745
Client 16,90.17348444617606,34.031413612565444,98.78419452887537,50.62305295950156
Client 17,89.06676020165135,34.962406015037594,98.6737400530504,51.63081193615545
Client 18,90.87463940500116,35.9538784067086,99.70930232558139,52.85053929121726
Client 19,91.45334805766477,38.47900113507378,98.83381924198251,55.392156862745104
Client 20,89.58818916652874,31.96803196803197,99.07120743034056,48.338368580060425
Average,90.21530056955788,35.52214341170309,98.85908835726026,52.20043126499144
