Client,ROC-AUC,Precision,Recall,F1
Client 1,93.16098226225262,45.06258692628651,97.88519637462235,61.71428571428571
Client 2,93.99212578658454,47.93956043956044,99.14772727272727,64.62962962962962
Client 3,93.67255295604897,45.883940620782724,99.12536443148689,62.73062730627307
Client 4,91.05267400802927,38.99033297529538,98.9100817438692,55.932203389830505
Client 5,91.06862454405575,36.37362637362637,99.10179640718563,53.21543408360129
Client 6,93.63111602445683,49.51724137931034,98.08743169398907,65.81118240146654
Client 7,92.3969410773159,42.092746730083235,99.15966386554622,59.09849749582637
Client 8,94.86122436652472,52.09580838323353,99.14529914529915,68.30225711481846
Client 9,91.58796426686186,39.67704728950404,98.56733524355302,56.57894736842105
Client 10,93.63155442476024,45.1831750339213,99.10714285714286,62.06896551724138
Client 11,92.73332695501234,42.76729559748428,98.83720930232558,59.70149253731343
Client 12,95.40598632939317,55.00794912559619,99.14040114613181,70.75664621676891
Client 13,94.06977299880526,50.27322404371585,98.9247311827957,66.66666666666666
Client 14,93.11654331677215,46.19640387275242,97.6608187134503,62.72300469483568
Client 15,91.25915169333085,37.57292882147025,98.17073170731707,54.34599156118144
Client 16,94.54866735516056,49.542682926829265,98.78419452887537,65.98984771573603
Client 17,93.37070796063027,48.06201550387597,98.6737400530504,64.63944396177237
Client 18,96.26852535444267,58.43270868824531,99.70930232558139,73.68421052631578
Client 19,94.80333336474676,51.91424196018377,98.83381924198251,68.07228915662651
Client 20,91.83767791908497,37.78040141676505,99.07120743034056,54.700854700854705
Average,93.32347264821348,46.01829590542611,98.80215973336361,62.568123887973286
