Client,ROC-AUC,Precision,Recall,F1
Client 1,90.27749280089431,35.37117903930131,97.88519637462235,51.96471531676023
Client 2,91.26753079394832,38.225629791894846,99.14772727272727,55.177865612648226
Client 3,90.49981500070233,35.52769070010449,99.12536443148689,52.307692307692314
Client 4,89.26583686696871,34.27495291902072,99.1825613079019,50.944716585024494
Client 5,89.89663509196082,33.43434343434343,99.10179640718563,50.0
Client 6,91.47199150508386,41.21699196326062,98.08743169398907,58.043654001616815
Client 7,92.11670508911529,41.16279069767442,99.15966386554622,58.175842235004104
Client 8,90.98902177524086,37.379162191192265,99.14529914529915,54.29017160686428
Client 9,91.92639864002254,40.758293838862556,98.56733524355302,57.66974015088013
Client 10,90.01091531599447,33.84146341463415,99.10714285714286,50.45454545454545
Client 11,91.98398813632294,40.189125295508276,98.83720930232558,57.14285714285714
Client 12,91.65377914869862,39.14027149321267,99.14040114613181,56.12327656123277
Client 13,90.7078853046595,38.080495356037154,99.19354838709677,55.033557046979865
Client 14,90.19282440335073,35.90568060021436,97.953216374269,52.54901960784314
Client 15,88.80772881017283,31.177606177606176,98.47560975609755,47.360703812316714
Client 16,91.1538766030388,36.5990990990991,98.78419452887537,53.410024650780606
Client 17,89.57136097339371,36.116504854368934,98.6737400530504,52.87846481876333
Client 18,91.13918966955141,36.64529914529914,99.70930232558139,53.59374999999999
Client 19,91.68843474588105,39.19075144508671,98.83381924198251,56.12582781456954
Client 20,89.93875884225177,32.75332650972365,99.07120743034056,49.23076923076923
Average,90.72800847586262,36.84953289832225,98.85908835726026,53.62385969785741
