Client,ROC-AUC,Precision,Recall,F1
Client 1,91.47406974605339,49.093904448105434,91.9753086419753,64.0171858216971
Client 2,92.01256861695006,56.00000000000001,91.47727272727273,69.47141316073355
Client 3,93.79133451431947,60.320284697508896,94.16666666666667,73.53579175704989
Client 4,92.732583607746,54.758418740849194,94.68354430379748,69.38775510204081
Client 5,93.57369266363374,59.309021113243766,93.35347432024169,72.53521126760563
Client 6,91.41613160569759,51.28205128205128,92.3913043478261,65.95538312318138
Client 7,93.96833771279202,58.34829443447038,94.75218658892129,72.22222222222221
Client 8,93.27882929460952,52.29202037351443,94.76923076923077,67.39606126914661
Client 9,92.07054197250032,43.706777316735824,96.04863221884499,60.07604562737643
Client 10,92.74964238974952,53.973509933774835,93.67816091954023,68.4873949579832
Client 11,88.77683774533818,70.02518891687657,81.04956268221575,75.13513513513513
Client 12,92.90660225442835,51.01088646967341,95.07246376811594,66.39676113360325
Client 13,91.78021434994288,45.63233376792699,95.8904109589041,61.83745583038869
Client 14,86.34199695295268,68.15642458100558,76.01246105919003,71.87039764359352
Client 15,87.245030835903,73.72881355932203,77.2189349112426,75.43352601156069
Client 16,94.39189392862833,50.98934550989346,98.24046920821115,67.13426853707415
Client 17,89.68043785310734,73.36683417085426,82.48587570621469,77.6595744680851
Client 18,90.56670181831518,60.470085470085465,86.54434250764525,71.19496855345912
Client 19,92.29874417146664,47.66483516483517,95.85635359116023,63.6697247706422
Client 20,86.62503637598216,79.08309455587393,75.40983606557377,77.2027972027972
Average,91.38406142050582,57.96060622533006,90.05382459813954,69.5309536797688
