Client,ROC-AUC,Precision,Recall,F1
Client 1,89.01683600047609,33.91684901531728,95.67901234567901,50.080775444264944
Client 2,91.71044483866649,60.46065259117083,89.48863636363636,72.16494845360825
Client 3,91.54536955024112,43.96442185514612,96.11111111111111,60.33129904097646
Client 4,87.12399172230447,35.316336166194525,94.68354430379748,51.44429160935351
Client 5,90.22411859597982,48.37133550488599,89.72809667673715,62.857142857142854
Client 6,89.60012770693672,40.49008168028005,94.29347826086956,56.6530612244898
Client 7,94.38317294351013,52.507836990595614,97.667638483965,68.29765545361876
Client 8,88.816391673785,40.10914051841746,90.46153846153845,55.576559546313796
Client 9,88.38662115992395,31.615460852329036,96.96048632218846,47.6831091180867
Client 10,91.41443730914773,47.514619883040936,93.39080459770115,62.98449612403101
Client 11,91.8687669796809,56.855575868372945,90.67055393586006,69.88764044943821
Client 12,91.40952892160621,44.550408719346045,94.78260869565217,60.61167747914736
Client 13,88.52377210534416,35.72159672466735,95.61643835616438,52.011922503725785
Client 14,86.33249198444642,59.71223021582733,77.57009345794393,67.47967479674797
Client 15,87.51397685918272,69.73684210526315,78.40236686390533,73.81615598885793
Client 16,91.27361435873587,75.38860103626943,85.33724340175954,80.05502063273727
Client 17,90.85568569448887,64.36058700209644,86.7231638418079,73.88688327316486
Client 18,89.92489353880501,40.89068825910931,92.66055045871559,56.74157303370787
Client 19,88.85476666274832,37.93103448275862,94.1988950276243,54.08406026962728
Client 20,91.40467875965984,68.45493562231759,87.1584699453552,76.6826923076923
Average,90.00918436828348,49.3934617546703,91.0792365456006,62.66653198033665
