Client,ROC-AUC,Precision,Recall,F1
Client 1,89.49372978002835,32.0962888665998,98.76543209876543,48.448145344436035
Client 2,89.66649651894497,33.6529242569511,99.7159090909091,50.32258064516129
Client 3,88.81286290719417,32.63445761166819,99.44444444444444,49.14207275223061
Client 4,88.8211458868312,35.55150410209663,98.73417721518987,52.27882037533512
Client 5,89.33957491668849,31.48854961832061,99.69788519637463,47.860768672951416
Client 6,89.20470263906223,34.20805998125586,99.18478260869566,50.87108013937283
Client 7,89.7055170901666,33.36594911937378,99.41690962099126,49.96336996336996
Client 8,87.9654273254507,29.330889092575617,98.46153846153847,45.19774011299435
Client 9,88.46790013890346,30.791229742612014,98.17629179331307,46.879535558780844
Client 10,88.9437562772012,33.04347826086956,98.27586206896551,49.457700650759215
Client 11,89.1800676960393,32.97560975609756,98.54227405247813,49.41520467836257
Client 12,89.1889681261662,32.63358778625955,99.1304347826087,49.10265613783202
Client 13,88.51870903979973,33.24074074074074,98.35616438356163,49.688581314878896
Client 14,89.87825454214703,32.18970736629667,99.37694704049844,48.6280487804878
Client 15,89.57968719615525,33.004926108374384,99.11242603550295,49.519586104951955
Client 16,89.09043540420548,32.40384615384615,98.82697947214076,48.80521361332368
Client 17,89.58591501439079,34.90471414242728,98.30508474576271,51.51739452257586
Client 18,89.17664642539934,32.98755186721991,97.24770642201835,49.264136328427576
Client 19,88.18799550696812,32.598714416896236,98.06629834254143,48.93177119228119
Client 20,90.23321046334918,35.9251968503937,99.72677595628416,52.821997105643995
Average,89.1520501447546,32.95139629204377,98.82821619162924,49.405820199707854
