Client,ROC-AUC,Precision,Recall,F1
Client 1,89.88812066521677,32.98969072164948,98.76543209876543,49.45904173106646
Client 2,90.96252008300976,36.753926701570684,99.7159090909091,53.71078806426932
Client 3,88.01569727389037,31.10338835794961,99.44444444444444,47.385837193911314
Client 4,88.5079000634422,34.883720930232556,98.73417721518987,51.55320555188367
Client 5,90.20315805486177,33.367037411526795,99.69788519637463,50.0
Client 6,89.42666179857689,34.6958174904943,99.18478260869566,51.40845070422535
Client 7,90.85122801848622,36.1228813559322,99.41690962099126,52.991452991452995
Client 8,87.58553252708717,28.64816472694718,98.46153846153847,44.382801664355064
Client 9,88.65806982878058,31.177606177606176,98.17629179331307,47.32600732600732
Client 10,88.22295604183786,31.54981549815498,98.27586206896551,47.76536312849162
Client 11,91.76526158558102,39.811542991755005,98.54227405247813,56.711409395973156
Client 12,89.67397694450835,33.69458128078818,99.1304347826087,50.294117647058826
Client 13,88.19345770922611,32.57713248638838,98.35616438356163,48.94342194955692
Client 14,91.44029833776747,36.08597285067873,99.37694704049844,52.94605809128631
Client 15,93.11548531822096,43.281653746770026,99.11242603550295,60.251798561151084
Client 16,90.7791285025902,36.432432432432435,98.82697947214076,53.23854660347551
Client 17,91.05380889564012,38.43612334801762,98.58757062146893,55.30903328050714
Client 18,90.18571340404809,35.53072625698324,97.24770642201835,52.04582651391162
Client 19,87.46914305865758,31.010452961672474,98.34254143646409,47.152317880794705
Client 20,91.89001519707698,40.376106194690266,99.72677595628416,57.48031496062992
Average,89.89440666542534,34.926438696112015,98.85615264011068,51.51778966200042
