Client,ROC-AUC,Precision,Recall,F1
Client 1,89.1285530344835,31.31115459882583,98.76543209876543,47.5482912332838
Client 2,89.25412538492435,32.773109243697476,99.7159090909091,49.33239634574842
Client 3,88.38475543745695,31.793960923623445,99.44444444444444,48.18304172274562
Client 4,88.74656354792907,35.39019963702359,98.73417721518987,52.104208416833664
Client 5,89.2810269073208,31.368821292775667,99.69788519637463,47.722342733188725
Client 6,89.08632442065442,33.95348837209302,99.18478260869566,50.589050589050586
Client 7,89.52925387042512,32.97872340425532,99.41690962099126,49.5279593318809
Client 8,88.0530953558423,29.493087557603687,98.46153846153847,45.39007092198582
Client 9,88.38012951280632,30.61611374407583,98.17629179331307,46.67630057803468
Client 10,88.51716021953719,32.142857142857146,98.27586206896551,48.44192634560906
Client 11,88.72472104504048,32.00757575757576,98.54227405247813,48.32022873481058
Client 12,89.32124325844133,32.9162656400385,99.1304347826087,49.421965317919074
Client 13,88.26737846617466,32.72561531449407,98.35616438356163,49.11080711354309
Client 14,89.2067216954317,30.76181292189007,99.37694704049844,46.98085419734904
Client 15,89.66771536516931,33.201189296333,99.11242603550295,49.74016332590943
Client 16,88.97296110170915,32.156488549618324,98.82697947214076,48.52411807055436
Client 17,89.46182776356466,34.3503937007874,98.58757062146893,50.948905109489054
Client 18,88.65017669740868,31.8,97.24770642201835,47.9276563677468
Client 19,88.59207450073795,33.2089552238806,98.34254143646409,49.651324965132495
Client 20,90.0113169722249,35.402521823472355,99.72677595628416,52.254831782390845
Average,88.96185622786415,32.517616707246056,98.85615264011068,48.91982216016031
